process_ID, arrival_time, burst_time, priority
1, 24, 5, 3
2, 39, 8, 2
3, 10, 6, 1
4, 4, 4, 4
5, 31, 5, 3
6, 39, 7, 4
7, 44, 4, 4
8, 11, 9, 3
9, 14, 5, 2
10, 39, 10, 2
11, 9, 6, 3
12, 33, 9, 2
13, 27, 9, 4
14, 3, 9, 4
15, 28, 4, 2
16, 2, 9, 2
17, 4, 6, 1
18, 31, 4, 4
19, 46, 3, 2
20, 20, 6, 3
21, 38, 4, 4
22, 11, 3, 4
23, 33, 7, 3
24, 3, 9, 4
25, 39, 4, 3
26, 38, 3, 1
27, 0, 3, 1
28, 23, 3, 2
29, 16, 2, 1
30, 9, 10, 1
31, 23, 9, 2
32, 46, 1, 4
33, 14, 7, 2
34, 23, 3, 4
35, 23, 8, 3
36, 37, 3, 2
37, 41, 7, 4
38, 21, 10, 2
39, 31, 7, 2
40, 49, 1, 2
41, 45, 10, 1
42, 31, 8, 3
43, 4, 7, 2
44, 17, 6, 1
45, 44, 9, 2
46, 25, 7, 3
47, 42, 4, 2
48, 25, 2, 3
49, 10, 7, 3
50, 37, 7, 2
